uid,m2,bdmbidprice,treatment,bought_ao
2041111E,W1,40,,0
2014122F,W1,90,,1
2014205F,W2,,,0
2026003,W1,290,1,1
2024106F,W1,40,,0
2015112F,W2,,,0
1011019,W1,90,1,0
2018001,W2,,2,0
2018205F,W2,,,1
2036029,W1,40,2,1
2036116F,W1,190,,0
2018015,W1,490,1,1
2020212F,W1,0,,0
1022035,W1,90,1,0
2018131F,W1,140,,0
2021027,W1,40,2,0
2007124F,W1,90,,0
2018203F,W2,,,0
2007035,W2,,3,1
1037033,W1,40,2,1
2007123F,W1,240,,1
2041019E,W1,240,,1
2029002,W1,40,1,0
2035101F,W2,,,1
2007013,W2,,1,1
2018135F,W1,140,,0
2036122F,W1,390,,1
2003015,W1,40,1,0
1010013,W2,,2,0
2035202F,W1,490,,0
2018121F,W1,40,,0
1031136F,W2,,,0
1031204F,W1,40,,0
1039012,W1,40,2,0
1038026,W1,40,1,0
1037119F,W2,,,0
1030107F,W2,,,0
1004032,W1,190,2,1
2009023,W1,190,2,1
1031002,W1,40,3,0
1006032,W1,90,2,1
1001123F,W1,40,,0
1016127F,W2,,,0
1016207F,W1,40,,0
1031132F,W1,40,,0
1006002,W1,390,1,1
1016104F,W1,90,,0
2015035,W1,90,1,0
1031201F,W2,,,1
1030119F,W2,,,0
1001119F,W2,,,1
2009015,W1,140,3,0
1034001,W1,40,2,0
2020021,W1,90,1,0
1041005E,W1,140,,1
2017007,W1,90,1,0
1039016,W1,40,2,0
1001116F,W1,0,,0
1033008,W2,,3,0
1030202F,W1,40,,0
1001027,W2,,1,0
2024038,W1,,1,0
1033013,W1,,2,0
1041044E,W1,40,,0
1030204F,W1,40,,0
1011101F,W1,490,,1
1016102F,W1,240,,0
1032111F,W1,490,,1
1027008,W1,390,2,1
2040132F,W2,,,1
1004004,W1,290,3,1
2015029,W1,40,2,0
2041014E,W1,90,,0
2015016,W1,90,2,1
2035036,W2,,1,1
2014210F,W2,,,1
2035217F,W1,90,,0
2014129F,W1,40,,0
2029035,W1,,3,0
1019002,W2,,1,0
1011018,W1,90,2,1
2014104F,W1,40,,0
1037019,W1,40,3,0
1027036,W1,90,1,0
2014127F,W1,40,,0
2040207F,W1,90,,0
1038016,W1,40,2,0
1030028,W1,40,1,0
1010033,W1,190,1,1
2041022E,W1,90,,0
2009007,W2,,1,1
2008040,W2,,1,0
2035124F,W2,,,0
2041073E,W2,,,0
2040124F,W1,140,,1
1039024,W2,,3,1
2035211F,W2,,,0
1023006,W1,40,1,1
2015004,W2,,1,0
1010020,W1,290,2,0
2041009E,W1,40,,0
2012012,W1,140,2,0
1030022,W1,40,2,0
2036014,W1,390,3,1
2007021,W1,490,1,1
2035130F,W1,190,,1
2003034,W1,40,2,0
2041077E,W1,0,,0
1005013,W2,,3,0
1019016,W1,90,2,0
2009101F,W1,240,,1
2021003,W1,90,2,0
1002023,W1,90,3,0
1002017,W1,90,3,1
2009125F,W1,40,,0
2018018,W1,140,2,1
2014127E,W1,40,,0
2007040,W1,190,2,1
2041061E,W1,40,,0
1005042,W1,40,2,0
1016022,W1,40,3,0
2026032,W1,90,2,0
1002005,W1,40,2,0
2012009,W2,,3,0
1039003,W2,,3,0
2041142E,W1,0,,0
2021009,W1,,3,0
1004021,W1,40,3,0
1023036,W1,140,1,1
1023026,W1,40,1,1
2009128F,W1,90,,0
2041078E,W2,,,1
2041056E,W1,40,,0
2012016,W1,,3,0
1038019,W1,490,2,1
1010011,W2,,2,1
2041082E,W1,0,,0
1037007,W1,40,3,0
2012027,W1,40,3,1
2035030,W1,390,3,0
2040024,W2,,2,0
1033003,W1,90,1,0
1039007,W1,,3,0
1041106E,W1,90,,1
1041110E,W2,,,1
2014036,W1,90,1,1
1031023,W1,40,3,0
1022008,W1,40,3,0
2020032,W1,490,3,0
2008021,W2,,1,0
2024026,W1,390,3,0
2040007,W1,390,3,1
1004013,W1,,1,0
1016034,W2,,2,1
1016012,W1,290,2,1
1001033,W1,40,1,0
2012002,W1,40,3,0
1039021,W1,40,2,0
1031026,W1,140,2,0
1033001,W1,40,1,1
2028015,W2,,2,1
2036037,W1,90,1,0
2007024,W1,190,1,1
2012034,W1,,3,0
1041115E,W2,,,1
2015012,W1,190,2,1
2026009,W2,,2,0
2009124F,W2,,,1
2035013,W2,,3,0
1022009,W2,,2,0
2041088E,W1,190,,0
2041112E,W2,,,0
1031010,W2,,1,0
2003115F,W2,,,0
2041140E,W1,40,,0
2008013,W1,90,2,0
2026124F,W1,90,,0
1031008,W1,90,2,0
2013018,W2,,3,0
1027025,W1,40,1,0
2007004,W2,,2,1
2041126E,W2,,,1
1039022,W1,40,3,1
2003126F,W2,,,0
2012017,W2,,1,0
2041051E,W2,,,0
1011007,W1,190,3,1
2041137E,W2,,,0
1022002,W1,40,3,0
1011027,W1,40,2,0
1034029,W1,90,1,0
2024122F,W1,240,,1
2026011,W1,40,2,0
2040004,W1,40,2,0
1010038,W1,40,1,1
1001010,W2,,2,0
1027039,W2,,3,1
2015010,W2,,1,0
2008204F,W2,,,0
2021018,W1,90,1,1
2041085E,W1,0,,0
1005040,W1,90,2,0
1006013,W2,,3,0
2008205F,W2,,,0
2003031,W1,290,1,1
2021116F,W2,,,1
2026118F,W2,,,1
2035016,W2,,1,1
2026029,W1,40,3,0
1019019,W1,490,2,0
2021026,W1,140,1,1
2026025,W1,40,1,0
1016032,W1,40,3,0
1037018,W1,290,1,0
1004028,W1,40,2,0
2041116E,W2,,,1
2018014,W1,90,1,1
1019010,W1,290,1,1
2041087E,W1,40,,0
1004006,W1,40,2,0
1039027,W2,,2,0
1006036,W1,40,2,0
2017011,W2,,1,1
2021023,W1,140,2,0
2015007,W1,490,1,1
2021121F,W1,40,,0
2009040,W1,40,1,0
1004031,W2,,2,1
2003022,W2,,3,1
2035003,W2,,1,1
2029120F,W1,90,,0
1041025E,W1,40,,0
2013024,W1,40,1,0
1037036,W1,0,2,0
1023106F,W1,0,,0
2014015,W1,,1,0
1004113F,W1,40,,1
2018008,W1,40,1,1
1033030,W2,,3,0
1001211F,W1,90,,1
1039113F,W1,0,,0
1001125F,W1,40,,0
1001109F,W2,,,0
1037104F,W2,,,1
1006029,W1,90,3,0
1023001,W2,,3,0
1031212F,W1,40,,0
2026017,W1,40,1,1
1031016,W1,390,1,0
1011121F,W2,,,1
1041007E,W2,,,0
2028008,W2,,3,0
1004209F,W1,0,,0
1023030,W1,40,1,0
2040023,W1,90,1,0
2003029,W2,,1,0
1004026,W1,40,3,0
1023201F,W1,40,,0
1001212F,W1,0,,0
1001209F,W1,90,,0
1037003,W1,40,1,0
1041015E,W1,90,,0
1001122F,W1,490,,0
1030201F,W2,,,0
1030122F,W1,90,,0
1037122F,W2,,,0
1030103F,W1,240,,0
1023033,W1,40,3,0
1041009E,W1,0,,0
1010129F,W2,,,0
1041151E,W1,40,,0
2021031,W1,40,3,0
2017001,W2,,2,1
1027035,W2,,1,0
2029030,W1,40,2,0
1041130E,W2,,,0
1032023,W1,190,1,0
1001028,W1,40,3,0
1030007,W1,140,1,1
1022030,W1,40,1,0
1041152E,W2,,,1
2008004,W2,,2,0
1010117F,W1,90,,0
1027129F,W1,40,,0
2015006,W1,490,1,1
1010112F,W1,90,,0
1010136F,W1,40,,0
1032025,W1,390,3,0
1011008,W1,90,1,0
2040003,W1,40,2,0
1041125E,W1,40,,0
1041124E,W1,40,,0
2017037,W1,190,3,1
1039001,W1,,1,0
1041094E,W1,0,,0
1041121E,W1,40,,0
1027020,W1,90,3,0
1011208F,W1,140,,0
1041169E,W1,140,,0
2040016,W2,,1,1
1019029,W1,40,1,1
1041168E,W1,40,,0
2028042,W2,,1,0
1010015,W1,90,2,0
2041136E,W1,40,,0
1027028,W1,190,1,1
2035024,W1,190,1,0
2035010,W1,90,1,0
1002036,W2,,2,1
2035025,W1,290,2,1
2041072E,W1,40,,0
2014014,W1,90,2,0
2040213F,W1,40,,1
1019004,W2,,2,1
2029025,W1,190,2,0
2035037,W2,,1,1
1032003,W1,40,1,0
1034006,W1,90,2,0
2007018,W1,40,1,1
1038001,W2,,2,1
1039034,W1,,1,0
2041109E,W2,,,0
2041110E,W2,,,0
1004011,W2,,3,1
2040201F,W2,,,0
2041121E,W1,40,,0
2041113E,W2,,,0
2025112F,W1,240,,1
2036108F,W1,490,,1
2024019,W1,90,1,0
2020023,W1,40,2,0
2041006E,W1,240,,1
1034021,W2,,3,0
2024202F,W2,,,1
2026020,W1,90,2,1
2036110F,W1,290,,1
2015205F,W1,240,,1
1004010,W1,390,2,1
1022026,W1,40,2,0
2018126F,W1,140,,1
2007119F,W2,,,0
2024114F,W2,,,0
2018124F,W2,,,0
2024112F,W1,0,,0
2024121F,W1,190,,1
1039005,W2,,2,0
2036128F,W1,390,,1
1016014,W1,140,2,0
1023041,W1,40,1,0
1004035,W1,40,3,1
1005028,W2,,3,0
2036016,W1,40,3,0
1034015,W1,40,2,0
1037021,W1,490,3,1
1006040,W1,290,1,1
2041001E,W1,490,,1
1022020,W1,40,2,1
2013042,W1,490,2,1
1011017,W2,,1,0
2026016,W2,,1,0
2017026,W2,,2,0
2012038,W1,390,3,0
1033021,W1,,1,0
2041002E,W1,40,,0
2025012,W1,90,1,1
1039015,W1,40,3,1
2040013,W1,490,2,0
1033027,W1,90,2,1
1001029,W1,40,1,0
1032002,W1,40,2,0
2008026,W1,40,3,0
1001013,W2,,2,1
1001031,W1,90,3,0
1010006,W2,,3,0
1001015,W1,40,1,0
2029022,W1,,2,0
1032008,W1,290,1,0
2029040,W1,490,1,1
1023008,W1,,3,0
1004009,W1,90,3,1
1033023,W1,90,2,0
2014033,W1,90,3,0
1022033,W2,,1,0
2012007,W1,40,1,0
1041012E,W1,90,,0
1019102F,W1,90,,1
1006105F,W1,140,,1
1041018E,W1,190,,0
1030026,W1,40,1,0
1041022E,W1,40,,0
1005210F,W1,140,,1
1006124F,W1,190,,1
1001001,W1,,3,0
1002026,W1,40,2,0
2015028,W1,190,3,0
1006204F,W1,90,,1
1005202F,W1,90,,1
2009010,W1,90,2,0
1016006,W1,90,2,0
1005111F,W1,190,,0
1034106F,W1,90,,1
2026031,W1,140,1,1
2024005,W1,90,2,0
1027004,W1,290,1,1
1019112F,W1,40,,0
1038126F,W1,90,,0
1019031,W1,240,2,1
1005130F,W1,40,,0
1041061E,W1,40,,0
1038108F,W1,90,,0
